category,pop_2015,pop_2020,pop_2050,share_2015,share_2020,share_2050
通年オープン,23596014,23859520,22306467,18.57,19.04,21.89
期間限定,7854397,7698461,6002267,6.18,6.14,5.89
ODPT外にあり,758881,745092,598546,0.6,0.59,0.59
データなし,31063193,30771519,25457991,24.44,24.55,24.98
駅勢圏外,63821596,62249959,47557665,50.22,49.67,46.66
全国,127094082,125324550,101922935,100.0,100.0,100.0
